Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Brooklyn,Brooklyn Heights,40.695863722724134,-73.99378225496432,9,Yoga Studio,Italian Restaurant,Deli / Bodega,Park,Cosmetics Shop,Gym,Thai Restaurant,Bakery,Gym / Fitness Center,Bar
Brooklyn,Cobble Hill,40.68791972248561,-73.99856139218471,9,Pizza Place,Bar,Ice Cream Shop,Coffee Shop,Playground,Italian Restaurant,Deli / Bodega,Cocktail Bar,Yoga Studio,Middle Eastern Restaurant
Brooklyn,Carroll Gardens,40.682131885641844,-74.00037274122077,9,Coffee Shop,Bakery,Italian Restaurant,Bar,Gym / Fitness Center,Pizza Place,Wine Shop,Yoga Studio,Ice Cream Shop,Deli / Bodega
Brooklyn,Red Hook,40.67625323025092,-74.01275897473569,9,Art Gallery,Seafood Restaurant,Park,Café,American Restaurant,Wine Shop,Ice Cream Shop,Farm,Bagel Shop,Flower Shop
Brooklyn,Gowanus,40.673931143187204,-73.99444087145346,9,Italian Restaurant,Bar,Furniture / Home Store,Gym / Fitness Center,Coffee Shop,Rental Car Location,Chinese Restaurant,Art Gallery,Food Truck,Mexican Restaurant
Brooklyn,Fort Greene,40.688527260189815,-73.97290574369099,9,Coffee Shop,Pizza Place,Flower Shop,Italian Restaurant,Cocktail Bar,Spa,French Restaurant,Mexican Restaurant,New American Restaurant,Opera House
Brooklyn,Park Slope,40.672320522682014,-73.97705030183931,9,American Restaurant,Coffee Shop,Burger Joint,Pizza Place,Italian Restaurant,Japanese Restaurant,Falafel Restaurant,Bookstore,Bakery,Bagel Shop
Brooklyn,Cypress Hills,40.6846357939163,-73.87583132262634,3,Latin American Restaurant,Deli / Bodega,Chinese Restaurant,Donut Shop,Fried Chicken Joint,Discount Store,Food,South American Restaurant,Caribbean Restaurant,Pizza Place
Brooklyn,East New York,40.66992570084708,-73.88069863917373,0,Deli / Bodega,Spanish Restaurant,Event Service,Convenience Store,Metro Station,Caribbean Restaurant,Pizza Place,Fast Food Restaurant,Latin American Restaurant,Chinese Restaurant
Brooklyn,Starrett City,40.64758905230878,-73.87936970045881,0,Bus Stop,Cosmetics Shop,Pharmacy,Shopping Mall,Donut Shop,Caribbean Restaurant,Gym,Shoe Store,Pizza Place,Supermarket
Brooklyn,Canarsie,40.63556432797432,-73.90209269778974,3,Caribbean Restaurant,Gym,Asian Restaurant,Chinese Restaurant,Yoga Studio,Fish & Chips Shop,Factory,Falafel Restaurant,Farm,Farmers Market
